Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
ARES-NYT,1.9982443683153523,0.005896018338947961,0.0011419397632172175,0.0729169726068389,0.9081878137196724,37,0.3871599450761247,17.352144807610674,96.27659574468085,0.4812559285687303
ARES-PFGC,2.6370272278036064,0.005664605750715279,0.0010890493955957475,0.0962264902041744,0.8336018719977986,37,0.46900429117504994,20.57441524834205,96.4095744680851,0.8162529772701519
ARES-DECK,2.3619150987807656,0.00633154149232266,0.0012338512749499818,0.0861875060369477,0.8690414415780083,59,0.4564282368766742,20.01753640185197,93.35106382978722,0.4162046887390378
ARES-TMX,2.1339720577052472,0.0003775775301909452,5.467353714692143e-05,0.0778697463346969,0.8945373866960804,67,0.4447170053062616,15.758684488906184,95.47872340425532,0.6453156732026855
ARES-WTS,2.317107854405215,0.008826918924669096,0.0017981499141708284,0.0845524664679513,0.8743178785579794,57,0.3974645190296332,18.163877703969685,95.07978723404256,1.2280937332370776
ARES-FLO,2.7601573469389535,0.0012037013694725543,0.0001931708864450781,0.1007195720646469,0.8159253698777638,53,0.39665405677451315,16.757927404085745,96.01063829787235,1.1028117985149797
ARES-HE,2.602661135238494,0.002845076173378317,0.0005006603534259786,0.0949724536759559,0.838327309102202,49,0.4449657543461111,20.092546118815317,93.75,1.2540727077711566
ARES-ABG,2.5181450269914167,0.0048694922297820836,0.0009138662265816936,0.0918884170848335,0.8495773517004258,65,0.36840472716441125,14.646491280883412,95.87765957446808,1.1592318757255065
ARES-AWR,2.447602872276291,0.004486149161538672,0.0008346870493699317,0.0893142973002114,0.8585750417092495,45,0.45326449293707716,21.502396737262284,95.07978723404256,0.7512325636209018
ARES-EGHT,2.5489335197188914,0.001473084850335784,0.0002435397975465691,0.0930119051408552,0.845539310705256,49,0.44532811619281654,16.482601570299806,96.27659574468085,0.7530675494554586
ARES-AWI,1.907354640023384,0.0010646228608689422,0.00017044417583773875,0.0696003593170961,0.9167224534705382,60,0.4251712724070674,14.579283169868747,94.28191489361703,0.628045447169804
ARES-KAR,2.5024732240801004,0.009350308601189634,0.0019122781446649047,0.0913165448745554,0.8516066650855958,57,0.40620097693380264,21.474846086868933,92.95212765957447,0.9855405959367268
ARES-WIRE,2.606733925781079,0.0020361032449882307,0.00034875838018589634,0.0951210719136129,0.8377719116320986,53,0.3678034560319007,19.261141252267837,94.41489361702128,1.0631501703723494
TPR-TVTY,2.9425560993573145,0.009328245564836002,0.001798923809153499,0.107375397070086,0.7056534505240141,40,0.4722398347102388,27.364292810694206,96.67553191489363,0.3638205581658233
LPLA-BRO,2.455717561440679,0.0027356677780197413,0.0004814176658101601,0.0896104065133261,0.9670022406696647,54,0.4324874845270415,18.978955902012117,94.81382978723404,1.9037641730024868
LPLA-ORI,4.365363214596504,0.007374334188621537,0.001462584391694515,0.1592943660869619,0.891569637956851,55,0.4506129129869847,22.68165219693626,96.27659574468085,2.816912086094346
LPLA-FLO,5.412221313847993,0.0070927629636126565,0.0013986001648386324,0.1974947606716955,0.8274837348013901,50,0.4862608471335738,23.27479356897216,96.1436170212766,2.2581683802523864
LPLA-THG,2.8050867992509283,3.0253307672673434e-05,3.111139872124552e-06,0.1023590710645788,0.9567190679200946,72,0.4860511497615714,15.203215188272749,95.61170212765957,1.8321734640875849
LPLA-ALE,4.502414115917443,0.00909315319011912,0.001855061109737971,0.1642954245039494,0.884203469029046,51,0.46354219379482375,23.15676240631907,94.54787234042553,2.580780515938203
LPLA-HXL,2.4840552899779853,0.008452291490604075,0.0017121390979648347,0.0906444649139194,0.9662229094907815,78,0.38048650553380425,17.35752684736199,94.54787234042553,2.0144581828106745
LPLA-TRS,3.373128759876316,0.008383774424370504,0.001686848618865361,0.1230872166003402,0.9367704393050104,73,0.4372132423208459,18.822094704210414,93.35106382978722,1.878151671801131
LPLA-FIX,4.216451157783295,0.008224937198807599,0.0016552169999511056,0.1538604879589175,0.8992501393100971,41,0.4814622931073444,24.84664762220676,97.6063829787234,1.4602520326405486
LPLA-WRLD,3.1647098891736203,0.0012195245603553893,0.00019695687609720458,0.1154819039935597,0.9445658191932934,62,0.4006712555270462,18.11828167448372,96.01063829787235,0.9111485470406104
LPLA-CVI,2.602755362572124,0.002496904806481759,0.0004264649595187594,0.0949758920801941,0.9628540765882384,68,0.4494488387307486,15.21769370419833,93.61702127659575,0.7509467363276295
BAH-STWD,2.065130867210918,0.0019034809417127056,0.0003218291561338951,0.0753576956160308,0.9412006751856231,60,0.35792453837562116,15.507588539653481,95.87765957446808,2.628541362076751
RHI-CBSH,1.8010130781401557,0.0009264134709038022,0.00014672970147252821,0.0657199006115649,0.951584391423747,79,0.3429403777130297,12.863992329463768,94.9468085106383,1.8422894646727368
RHI-INDB,1.9320805722133252,0.004984203433557973,0.0009367258935103637,0.0705026213971301,0.9440656575547061,71,0.42709514558567646,15.780142025411362,92.68617021276596,1.2058157502887803
BLDR-PCH,2.6300284834740526,0.0054956751381968,0.0010477556581680542,0.0959711023964307,0.8926081467983122,62,0.357782991302105,14.814053441420654,95.61170212765957,1.495677367404632
RPM-HELE,1.4430935247085783,0.0021261142492152367,0.0003627671532172802,0.0526592306120168,0.8508781522065212,63,0.41454474158841903,15.80758916863076,92.02127659574468,0.5415369283004781
IVZ-MHK,1.5971918040282658,0.00254890899532986,0.0004428728452468303,0.0582823566871262,0.9581692537260418,46,0.3822179017090214,14.876175102153068,95.74468085106383,0.7563904902113916
EWBC-STLD,2.0125388268873152,0.009837902788581628,0.0020332504487346244,0.0734385848083537,0.9305512721726613,73,0.4208271589934919,19.43765554857971,95.2127659574468,0.9357191538147346
CMA-HII,2.848069905739885,0.007132541934861103,0.0014087092079786878,0.1039275468967185,0.8966989126614792,36,0.44015082876400596,20.924295344448478,95.87765957446808,1.526436321274514
CMA-PLXS,3.0421175297010206,0.004203682576780682,0.0007797394949280317,0.1110084452618795,0.8811700483599295,40,0.3614507817707732,20.385926570004525,97.20744680851064,2.0674397626889705
AIZ-RBC,1.2993420077967364,0.009265918063173735,0.0019037133047310013,0.0474136632594666,0.8145229564320452,42,0.3471900975557774,18.21732188017382,95.87765957446808,0.6013389300655687
AIZ-NSIT,1.3615951018697647,0.004660346364887807,0.0008761854771873401,0.0496853109253829,0.7939935830426047,58,0.351219212739416,17.625033885213107,97.3404255319149,0.3271042672661839
AIZ-NXGN,1.3570904753574398,0.005087147290876992,0.0009669419558457669,0.0495209347693875,0.7955294606777473,63,0.3410989823933188,15.892407624091568,96.1436170212766,0.3717643557897898
BG-DY,2.182415228947363,0.0070630843042813005,0.001395760573986759,0.0796374627594041,0.758522033989101,62,0.4107723355433904,19.11090668560913,95.74468085106383,0.3727536635088611
SCI-SIGI,1.3078583801711303,0.00820192072827439,0.0016554838798964213,0.0477244301010901,0.9661412992945798,61,0.37094574698393035,17.04694179394217,95.74468085106383,0.9122059493637672
DVN-CMP,2.643837820908403,0.004363340145521342,0.0008140445158603576,0.0964750122762159,0.8454967512364652,60,0.3325444325025133,16.426950677491284,96.54255319148936,1.282447358194625
AFG-CIT,1.2916757116859665,0.0047197085601733526,0.0008888337789384982,0.0471339161412619,0.95437347626006,63,0.3712260837456431,16.44028319689138,96.27659574468085,1.0518361655265127
NWL-LC,5.152273837880272,0.009630372431349425,0.001988260257371961,0.1880091425536596,0.8954114265612647,47,0.40354613229690384,18.533807559603463,95.61170212765957,1.367760487088062
UGI-HELE,1.2686589028200534,0.0014262282688453042,0.00023316326814847786,0.0462940208570893,0.8682631642635508,40,0.35300375483897184,13.713092570851092,95.87765957446808,0.5144573640853767
UGI-IRDM,1.1946455215084633,0.008589403285813233,0.0017441901127003868,0.0435932342149697,0.884172127470525,44,0.37104464608364557,17.178970270947147,95.61170212765957,0.2171034018624893
UGI-RETA,1.2063761327801985,0.005345798925380892,0.0010218794656419313,0.0440212902997636,0.8817331665169278,58,0.4040605463095811,15.776959712546088,96.27659574468085,0.1354016065638149
UGI-REGI,1.1376298871539252,0.009710898244477809,0.0020094782817354907,0.0415127041685388,0.8955973737218976,55,0.33577515617562226,16.40645877954391,94.28191489361703,0.2039016782072442
CG-WERN,1.90885408973766,0.0029076911093004233,0.0005182694392616092,0.0696550750142725,0.9351079566886445,76,0.33199931550252293,13.970743259623188,96.94148936170212,1.079248728594926
CG-KALU,2.3897026721471493,0.006578739605803142,0.001293375995898639,0.0872014889902315,0.8962107644456425,63,0.3675603253264931,17.268452606764274,95.2127659574468,1.3136549968851703
NCLH-LECO,1.8723966336787623,0.004706897472014932,0.0008849983971078785,0.0683247235482989,0.8621916753068604,58,0.3816722923798754,16.42269671703432,96.67553191489363,0.874087217998889
NCLH-JBL,2.024069873879731,0.0008943856476665366,0.0001412894493645887,0.0738593586891693,0.8367285887413487,71,0.3736443843220189,16.930365690123992,95.2127659574468,0.8545701283059975
NCLH-MTZ,2.2277865861957475,0.0042139842885042895,0.0007768036057783747,0.0812930870994866,0.797942224139168,49,0.3655649992668716,21.382345597136272,94.68085106382979,0.5913933967475005
NCLH-TKR,1.7740678666561913,0.0018119765717165897,0.0003069658050089615,0.0647366558799318,0.8772799425284197,63,0.3465423813007832,14.18274801716661,95.34574468085107,0.8375480902859875
NCLH-ESNT,1.9264851546376474,0.006430789166545097,0.0012583796466801472,0.0702984417099212,0.8534248004368278,53,0.3513618443528224,17.268036632264657,95.74468085106383,0.612542561805927
NCLH-RUSHA,1.9090101059112088,0.008578892332390496,0.001741576484589217,0.069660768125302,0.8562943860816616,36,0.3232187760420279,17.24892331104851,96.94148936170212,0.5088308282482488
NCLH-MTOR,1.954473150591001,0.0006922501431630795,0.00010552292205067904,0.0713197381872742,0.8487538013388729,53,0.3940089435863173,19.05894192420117,95.07978723404256,0.3648252462645709
LSI-FCN,1.3794195689427506,0.0014913166655038982,0.00024656730981497787,0.0503357349665566,0.9044087434073335,63,0.43457024250726217,17.760568717351177,96.80851063829788,0.3596233079830782
RS-VOYA,1.480653862858413,0.004807459027865684,0.0008992073187791348,0.0540298268170666,0.856402341878297,62,0.4644811636060347,17.94494500503174,96.1436170212766,0.4249720706805959
RS-FLO,1.68637498453548,0.0050995273348753084,0.0009691188534533543,0.0615366971637706,0.8088284313219983,47,0.366572704956591,15.7775115881309,96.01063829787235,0.6566944003871344
RS-ABG,1.38607107863729,0.00022977621907897816,3.2251175740983926e-05,0.0505784520025115,0.8754395065329291,63,0.32214533217595887,11.50429054701199,96.4095744680851,0.7175455362558489
RS-IOSP,1.6527273820283839,0.008768652622163992,0.0017822123014351288,0.0603088787101327,0.8172299943350214,65,0.45872660462864867,20.66554419029921,94.81382978723404,0.625171080100503
ON-ST,2.6272524020433794,0.0025677074478782994,0.00045057396570340414,0.0958698017462978,0.9395332479170658,64,0.3378065942001554,14.836707045120917,96.94148936170212,2.145817412186887
ON-WERN,2.876544688603467,0.001853582775088357,0.0003139138708246816,0.1049666064807072,0.9270440209711148,62,0.34235738227657897,14.91064321759103,97.07446808510637,1.5238092462429027
ON-KALU,4.153010099863431,0.004421310397367476,0.0008116662785426479,0.1515454908765579,0.8408053849237502,43,0.4932307935430102,22.633811475092315,97.20744680851064,1.7552424131902988
ZION-HII,2.768091256844043,0.004848141760818426,0.0008815040461191559,0.1010090845488993,0.8716202559821362,58,0.4918627042925736,20.533197519000982,94.81382978723404,1.3022178512191016
ZION-MDU,3.4569583419667502,0.0034804961529245797,0.0006310072905990345,0.1261462014962088,0.7907274663578224,59,0.39523122743878436,17.47185178763369,95.87765957446808,2.718401893737892
ZION-WERN,2.494930999193061,0.0034744833217561755,0.0006280386079377705,0.0910413251796056,0.8971087894095033,62,0.472731373154797,20.30726362421433,96.4095744680851,1.085434893619818
ZION-PLXS,2.641173591127483,0.0018027421323911477,0.000303132153907949,0.0963777931507504,0.8838836857378858,66,0.37731562830639215,18.064439884683335,94.54787234042553,1.8200886344489375
FRT-PACB,1.3083939761808212,0.0009690339003859827,0.00015187322785278085,0.0477439742770609,0.7710870727434014,75,0.40894881282787127,17.353684709702197,94.28191489361703,0.1421994861371441
ST-FSLR,2.1163796041796554,0.009873853319049103,0.001968934810413726,0.0772277885881105,0.7765495061500715,54,0.4492962485128861,22.26970614899359,94.68085106382979,0.3576479012149092
ST-HII,1.5682809093533703,0.009732464496508287,0.002001660494962506,0.0572273831571241,0.8843182200790334,69,0.34273530398805985,15.440402370414237,94.68085106382979,0.7858793397920745
ST-FAF,1.4948442006356872,0.001985161181817137,0.00033840252803616705,0.0545476395968216,0.8955195353949511,54,0.35567663914316255,15.44488081490652,96.1436170212766,0.6611102193784477
